roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade,percentage,pass_fail
std-37,male,group C,some high school,1.0,0.0,78.0,82.0,52.0,71.0,283.0,C,70.75,Pass
std-38,Unknown,group C,associate's degree,1.0,1.0,36.0,70.0,57.0,93.0,256.0,C,64.0,Pass
std-39,male,group D,high school,0.0,0.0,68.0,66.0,86.0,99.0,319.0,B,79.75,Pass
std-40,male,group D,Unknown,1.0,0.0,97.0,89.0,64.0,66.0,316.0,B,79.0,Pass
std-41,male,group D,some high school,Unknown,0.0,38.0,97.0,55.0,62.0,252.0,C,63.0,Pass
std-42,male,group D,high school,1.0,Unknown,38.0,92.0,95.0,50.0,275.0,C,68.75,Pass
std-43,male,group B,high school,1.0,0.0,57.178746867167916,38.0,54.0,65.0,214.17874686716792,D,53.54468671679198,Pass
std-44,male,group A,bachelor's degree,0.0,0.0,78.0,70.12591478696741,81.0,71.0,300.1259147869674,B,75.03147869674186,Pass
std-45,male,group D,some college,1.0,0.0,64.0,81.0,71.41579791499599,96.0,312.415797914996,B,78.103949478749,Pass
std-46,male,group C,some college,1.0,0.0,60.0,43.0,33.0,66.06304500350807,202.06304500350808,D,50.51576125087702,Pass
std-47,male,group D,some college,0.0,0.0,60.0,56.0,78.0,67.0,261.0,C,65.25,Pass
std-48,male,group C,high school,0.0,0.0,38.0,90.0,53.0,60.0,241.0,D,60.25,Pass
std-49,male,group D,some high school,0.0,0.0,69.0,98.0,98.0,46.0,311.0,B,77.75,Pass
std-50,male,group E,high school,0.0,0.0,87.0,63.0,48.0,55.0,253.0,C,63.24999999999999,Pass
std-51,male,group B,some high school,1.0,0.0,83.0,56.0,71.41579791499599,66.06304500350807,276.4788429185041,C,69.11971072962602,Pass
std-52,male,group D,associate's degree,0.0,1.0,42.0,64.0,57.0,94.0,257.0,C,64.25,Pass
std-53,male,group C,bachelor's degree,1.0,1.0,72.0,70.12591478696741,69.0,28.0,239.12591478696743,D,59.78147869674185,Pass
std-54,male,group C,some college,1.0,0.0,57.178746867167916,100.0,59.0,9.0,225.17874686716792,D,56.29468671679197,Pass
std-55,male,group B,some college,0.0,Unknown,52.0,98.0,73.0,75.0,298.0,C,74.5,Pass
std-56,male,group B,associate's degree,Unknown,1.0,65.0,66.0,60.0,57.0,248.0,D,62.0,Pass
std-57,male,group C,Unknown,1.0,1.0,27.0,55.0,100.0,38.0,220.0,D,55.00000000000001,Pass
std-58,male,Unknown,bachelor's degree,0.0,0.0,46.0,91.0,30.0,69.0,236.0,D,59.0,Pass
std-59,Unknown,group C,associate's degree,1.0,1.0,12.0,83.0,74.0,63.0,232.0,D,57.99999999999999,Pass
std-60,male,group D,some high school,1.0,0.0,51.0,73.0,100.0,60.0,284.0,C,71.0,Pass
std-61,male,group D,some high school,1.0,0.0,32.0,100.0,77.0,61.0,270.0,C,67.5,Pass
std-62,male,group B,some high school,1.0,0.0,75.0,86.0,73.0,79.0,313.0,B,78.25,Pass
std-63,male,group B,associate's degree,0.0,1.0,60.0,53.0,82.0,71.0,266.0,C,66.5,Pass
std-64,male,group D,some college,1.0,0.0,20.0,76.0,63.0,71.0,230.0,D,57.49999999999999,Pass
std-65,male,group B,bachelor's degree,1.0,1.0,85.0,82.0,80.0,72.0,319.0,B,79.75,Pass
std-66,male,group D,associate's degree,1.0,0.0,81.0,88.0,100.0,100.0,369.0,A,92.25,Pass
std-67,male,group A,associate's degree,1.0,0.0,98.0,40.0,32.0,51.0,221.0,D,55.25,Pass
std-68,male,group C,master's degree,1.0,1.0,72.0,90.0,61.0,65.0,288.0,C,72.0,Pass
std-69,male,group C,master's degree,1.0,0.0,83.0,89.0,56.0,74.0,302.0,B,75.5,Pass
std-70,male,group C,some college,1.0,0.0,100.0,62.0,32.0,74.0,268.0,C,67.0,Pass
std-71,male,group A,some high school,0.0,0.0,24.0,86.0,68.0,52.0,230.0,D,57.49999999999999,Pass
std-72,male,group D,some high school,1.0,0.0,71.0,90.0,68.0,72.0,301.0,B,75.25,Pass
std-73,male,group B,some college,1.0,0.0,20.0,73.0,100.0,56.0,249.0,D,62.25000000000001,Pass
std-74,male,group E,associate's degree,1.0,0.0,23.0,57.0,65.0,65.0,210.0,D,52.5,Pass
std-75,male,group A,associate's degree,0.0,1.0,82.0,30.0,53.0,75.0,240.0,D,60.0,Pass
std-76,male,group C,some college,1.0,0.0,49.0,30.0,53.0,33.0,165.0,D,41.25,Pass
std-77,male,group D,master's degree,1.0,0.0,35.0,62.0,33.0,46.0,176.0,D,44.0,Pass
std-78,male,group D,some college,0.0,0.0,55.0,58.0,98.0,74.0,285.0,C,71.25,Pass
std-79,male,group B,some high school,1.0,0.0,32.0,100.0,78.0,36.0,246.0,D,61.5,Pass
std-80,male,group D,high school,0.0,0.0,19.0,60.0,25.0,78.0,182.0,D,45.5,Pass
std-81,male,group E,bachelor's degree,1.0,1.0,47.0,70.0,100.0,90.0,307.0,B,76.75,Pass
std-82,male,group E,high school,0.0,1.0,48.0,76.0,80.0,100.0,304.0,B,76.0,Pass
std-83,male,group E,master's degree,1.0,0.0,29.0,77.0,44.0,79.0,229.0,D,57.25,Pass
std-84,male,group E,bachelor's degree,1.0,0.0,34.0,70.0,41.0,53.0,198.0,D,49.5,Pass
std-85,male,group D,associate's degree,1.0,0.0,74.0,69.0,26.0,60.0,229.0,D,57.25,Pass
std-86,male,group E,some college,1.0,0.0,44.0,90.0,58.0,72.0,264.0,C,66.0,Pass
std-87,male,group C,some college,1.0,1.0,28.0,82.0,87.0,52.0,249.0,D,62.25000000000001,Pass
std-88,male,group B,master's degree,1.0,0.0,72.0,76.0,49.0,88.0,285.0,C,71.25,Pass
std-89,male,group E,some college,1.0,1.0,43.0,82.0,50.0,56.0,231.0,D,57.75,Pass
std-90,male,group E,some college,1.0,0.0,71.0,65.0,59.0,60.0,255.0,C,63.74999999999999,Pass
std-91,male,group B,some college,1.0,1.0,62.0,58.0,45.0,33.0,198.0,D,49.5,Pass
std-92,male,group C,some college,1.0,0.0,42.0,60.0,80.0,74.0,256.0,C,64.0,Pass
std-93,male,group E,associate's degree,0.0,0.0,43.0,86.0,83.0,93.0,305.0,B,76.25,Pass
std-94,male,group B,high school,0.0,1.0,21.0,60.0,18.0,66.0,165.0,D,41.25,Pass
std-95,male,group B,some high school,1.0,0.0,72.0,86.0,23.0,62.0,243.0,D,60.75000000000001,Pass
std-96,male,group E,associate's degree,0.0,0.0,93.0,85.0,30.0,79.0,287.0,C,71.75,Pass
std-97,male,group D,some high school,1.0,0.0,66.0,91.0,95.0,59.0,311.0,B,77.75,Pass
std-98,male,group D,some college,1.0,1.0,65.0,65.0,64.0,27.0,221.0,D,55.25,Pass
std-99,male,group D,master's degree,0.0,0.0,47.0,64.0,54.0,23.0,188.0,D,47.0,Pass
std-100,male,group C,some high school,0.0,0.0,0.0,37.0,62.0,94.0,193.0,D,48.25,Pass
std-101,male,group D,associate's degree,1.0,1.0,25.0,78.0,69.0,36.0,208.0,D,52.0,Pass
std-102,male,group B,associate's degree,1.0,1.0,78.0,82.0,62.0,15.0,237.0,D,59.25,Pass
std-103,male,group B,high school,0.0,0.0,82.0,84.0,82.0,79.0,327.0,B,81.75,Pass
std-104,male,group E,some college,1.0,1.0,46.0,98.0,96.0,100.0,340.0,B,85.0,Pass
std-105,male,group C,some college,1.0,0.0,13.0,100.0,68.0,10.0,191.0,D,47.75,Pass
std-106,male,group D,bachelor's degree,1.0,0.0,28.0,79.0,71.0,42.0,220.0,D,55.00000000000001,Pass
std-107,male,group A,some college,1.0,0.0,35.0,74.0,58.0,51.0,218.0,D,54.50000000000001,Pass
std-108,male,group A,associate's degree,1.0,1.0,39.0,64.0,93.0,77.0,273.0,C,68.25,Pass
std-109,male,group C,high school,1.0,1.0,51.0,69.0,68.0,36.0,224.0,D,56.00000000000001,Pass
std-110,male,group B,master's degree,0.0,0.0,71.0,89.0,71.0,83.0,314.0,B,78.5,Pass
std-111,male,group D,high school,0.0,0.0,45.0,65.0,37.0,50.0,197.0,D,49.25,Pass
std-112,male,group E,high school,1.0,1.0,57.0,60.0,56.0,52.0,225.0,D,56.25,Pass
std-113,male,group C,bachelor's degree,1.0,1.0,44.0,89.0,100.0,88.0,321.0,B,80.25,Pass
std-114,male,group C,some high school,1.0,0.0,20.0,69.0,78.0,61.0,228.0,D,56.99999999999999,Pass
std-115,male,group A,associate's degree,1.0,0.0,54.0,95.0,71.0,80.0,300.0,B,75.0,Pass
std-116,male,group C,associate's degree,0.0,0.0,28.0,53.0,84.0,38.0,203.0,D,50.74999999999999,Pass
std-117,male,group C,some college,1.0,0.0,21.0,47.0,55.0,49.0,172.0,D,43.0,Pass
std-118,male,group C,some high school,1.0,1.0,66.0,91.0,40.0,40.0,237.0,D,59.25,Pass
std-119,male,group A,associate's degree,1.0,1.0,18.0,95.0,72.0,49.0,234.0,D,58.5,Pass
std-120,male,group B,some college,1.0,0.0,70.0,59.0,29.0,50.0,208.0,D,52.0,Pass
std-121,male,group C,high school,1.0,0.0,30.0,63.0,76.0,48.0,217.0,D,54.25,Pass
std-122,male,group C,associate's degree,1.0,0.0,98.0,68.0,100.0,69.0,335.0,B,83.75,Pass
std-123,male,group E,associate's degree,0.0,0.0,85.0,98.0,64.0,73.0,320.0,B,80.0,Pass
std-124,male,group C,some high school,1.0,0.0,75.0,90.0,51.0,91.0,307.0,B,76.75,Pass
std-125,male,group A,master's degree,0.0,1.0,97.0,100.0,69.0,58.0,324.0,B,81.0,Pass
std-126,male,group B,some college,1.0,0.0,20.0,76.0,27.0,43.0,166.0,D,41.5,Pass
std-127,male,group C,high school,1.0,1.0,50.0,100.0,67.0,100.0,317.0,B,79.25,Pass
std-128,male,group D,some college,1.0,1.0,65.0,85.0,72.0,72.0,294.0,C,73.5,Pass
std-129,male,group E,some college,0.0,1.0,23.0,100.0,92.0,67.0,282.0,C,70.5,Pass
std-130,male,group B,master's degree,1.0,0.0,32.0,48.0,51.0,9.0,140.0,D,35.0,Fail
std-131,male,group E,high school,1.0,0.0,61.0,59.0,100.0,54.0,274.0,C,68.5,Pass
std-132,male,group B,some high school,0.0,0.0,73.0,78.0,96.0,81.0,328.0,B,82.0,Pass
std-133,male,group B,bachelor's degree,1.0,0.0,88.0,85.0,79.0,100.0,352.0,A,88.0,Pass
std-134,male,group C,some high school,0.0,1.0,60.0,92.0,41.0,28.0,221.0,D,55.25,Pass
std-135,male,group B,bachelor's degree,1.0,1.0,25.0,82.0,80.0,94.0,281.0,C,70.25,Pass
std-136,male,group E,some high school,1.0,1.0,93.0,81.0,75.0,91.0,340.0,B,85.0,Pass
std-137,male,group D,some high school,1.0,0.0,72.0,44.0,78.0,58.0,252.0,C,63.0,Pass
std-138,male,group D,some college,0.0,1.0,64.0,65.0,81.0,100.0,310.0,B,77.5,Pass
std-139,male,group D,some college,1.0,0.0,41.0,72.0,88.0,64.0,265.0,C,66.25,Pass
std-140,male,group C,some high school,1.0,1.0,36.0,67.0,60.0,77.0,240.0,D,60.0,Pass
std-141,male,group C,associate's degree,0.0,1.0,33.0,88.0,31.0,97.0,249.0,D,62.25000000000001,Pass
std-142,male,group D,associate's degree,1.0,0.0,54.0,86.0,62.0,78.0,280.0,C,70.0,Pass
std-143,male,group B,high school,1.0,1.0,44.0,49.0,60.0,39.0,192.0,D,48.0,Pass
std-144,male,group A,master's degree,1.0,0.0,44.0,17.0,92.0,86.0,239.0,D,59.75,Pass
std-145,male,group D,high school,1.0,0.0,19.0,84.0,99.0,62.0,264.0,C,66.0,Pass
std-146,male,group C,master's degree,1.0,0.0,29.0,59.0,47.0,48.0,183.0,D,45.75,Pass
std-147,male,group C,some high school,0.0,1.0,39.0,58.0,72.0,25.0,194.0,D,48.5,Pass
std-148,male,group C,some college,0.0,0.0,24.0,77.0,94.0,9.0,204.0,D,51.0,Pass
std-149,male,group C,some college,1.0,0.0,76.0,91.0,100.0,41.0,308.0,B,77.0,Pass
std-150,male,group C,master's degree,0.0,0.0,74.0,62.0,86.0,91.0,313.0,B,78.25,Pass
std-151,male,group E,some college,1.0,1.0,65.0,62.0,63.0,56.0,246.0,D,61.5,Pass
std-152,male,group B,master's degree,0.0,0.0,38.0,63.0,59.0,82.0,242.0,D,60.5,Pass
std-153,male,group C,high school,1.0,0.0,71.0,58.0,56.0,73.0,258.0,C,64.5,Pass
std-154,male,group D,some high school,0.0,0.0,75.0,100.0,100.0,34.0,309.0,B,77.25,Pass
std-155,male,group B,bachelor's degree,0.0,0.0,68.0,79.0,77.0,89.0,313.0,B,78.25,Pass
std-156,male,group D,high school,1.0,0.0,34.0,91.0,64.0,44.0,233.0,D,58.25,Pass
std-157,male,group A,some high school,0.0,0.0,45.0,48.0,67.0,9.0,169.0,D,42.25,Pass
std-158,male,group C,some college,0.0,1.0,46.0,34.0,86.0,59.0,225.0,D,56.25,Pass
std-159,male,group B,some college,0.0,0.0,82.0,87.0,52.0,60.0,281.0,C,70.25,Pass
std-160,male,Unknown,Unknown,1.0,0.0,57.0,59.0,95.0,99.0,310.0,B,77.5,Pass
std-161,male,group C,master's degree,Unknown,0.0,0.0,93.0,66.0,80.0,239.0,D,59.75,Pass
std-162,male,group D,some college,0.0,Unknown,88.0,70.12591478696741,59.0,46.0,263.1259147869674,C,65.78147869674186,Pass
std-163,male,group E,bachelor's degree,1.0,0.0,27.0,100.0,71.41579791499599,82.0,280.415797914996,C,70.103949478749,Pass
std-164,male,group A,bachelor's degree,0.0,1.0,17.0,97.0,63.0,44.0,221.0,D,55.25,Pass
std-165,male,group C,some college,0.0,1.0,62.0,87.0,73.0,56.0,278.0,C,69.5,Pass
std-166,male,group C,bachelor's degree,0.0,1.0,16.0,100.0,47.0,32.0,195.0,D,48.75,Pass
std-167,male,group D,some college,0.0,0.0,89.0,68.0,64.0,99.0,320.0,B,80.0,Pass
std-168,male,group A,associate's degree,1.0,0.0,50.0,60.0,57.0,32.0,199.0,D,49.75,Pass
std-169,male,group C,high school,1.0,0.0,40.0,98.0,53.0,84.0,275.0,C,68.75,Pass
std-170,male,group E,bachelor's degree,0.0,1.0,56.0,81.0,52.0,69.0,258.0,C,64.5,Pass
std-171,male,group C,bachelor's degree,0.0,0.0,80.0,70.0,37.0,75.0,262.0,C,65.5,Pass
std-172,male,group E,bachelor's degree,1.0,0.0,74.0,70.0,36.0,41.0,221.0,D,55.25,Pass
std-173,male,group D,bachelor's degree,0.0,1.0,23.0,87.0,73.0,86.0,269.0,C,67.25,Pass
std-174,male,group D,high school,1.0,0.0,53.0,51.0,73.0,87.0,264.0,C,66.0,Pass
std-175,male,group D,some college,1.0,0.0,39.0,41.0,48.0,62.0,190.0,D,47.5,Pass
std-176,male,group B,master's degree,0.0,0.0,30.0,69.0,93.0,91.0,283.0,C,70.75,Pass
std-177,male,group E,high school,1.0,1.0,68.0,91.0,65.0,98.0,322.0,B,80.5,Pass
std-178,male,group E,some high school,1.0,1.0,71.0,80.0,58.0,58.0,267.0,C,66.75,Pass
std-179,male,group D,associate's degree,1.0,0.0,14.0,36.0,25.0,66.06304500350807,141.06304500350808,D,35.26576125087702,Fail
std-180,male,group C,some high school,1.0,1.0,44.0,80.0,71.41579791499599,61.0,256.415797914996,C,64.103949478749,Pass
std-181,male,group C,high school,0.0,0.0,69.0,70.12591478696741,49.0,48.0,236.12591478696743,D,59.03147869674186,Pass
std-182,male,group B,high school,0.0,0.0,57.178746867167916,95.0,33.0,49.0,234.17874686716792,D,58.544686716791986,Pass
std-183,male,group D,bachelor's degree,1.0,Unknown,49.0,70.0,93.0,64.0,276.0,C,69.0,Pass
std-184,male,group D,some college,Unknown,1.0,84.0,75.0,67.0,62.0,288.0,C,72.0,Pass
std-185,male,group E,Unknown,1.0,0.0,55.0,86.0,70.0,92.0,303.0,B,75.75,Pass
std-186,male,Unknown,master's degree,1.0,0.0,49.0,90.0,55.0,94.0,288.0,C,72.0,Pass
std-187,male,group C,associate's degree,1.0,1.0,41.0,72.0,63.0,97.0,273.0,C,68.25,Pass
std-188,male,group D,bachelor's degree,1.0,1.0,49.0,58.0,66.0,34.0,207.0,D,51.74999999999999,Pass
std-189,male,group B,some college,1.0,0.0,16.0,100.0,88.0,36.0,240.0,D,60.0,Pass
std-190,male,group C,associate's degree,0.0,1.0,37.0,99.0,52.0,45.0,233.0,D,58.25,Pass
std-191,male,group C,high school,1.0,1.0,87.0,57.0,65.0,60.0,269.0,C,67.25,Pass
std-192,male,group E,some college,1.0,1.0,45.0,100.0,46.0,73.0,264.0,C,66.0,Pass
std-193,male,group B,associate's degree,0.0,0.0,32.0,47.0,61.0,61.0,201.0,D,50.24999999999999,Pass
std-194,male,group D,some high school,1.0,1.0,62.0,91.0,89.0,63.0,305.0,B,76.25,Pass
std-195,male,group E,some high school,1.0,1.0,58.0,88.0,64.0,62.0,272.0,C,68.0,Pass
std-196,male,group E,bachelor's degree,0.0,1.0,51.0,60.0,54.0,74.0,239.0,D,59.75,Pass
std-197,male,group D,master's degree,1.0,1.0,45.0,51.0,56.0,74.0,226.0,D,56.49999999999999,Pass
std-198,male,group D,master's degree,1.0,0.0,33.0,63.0,53.0,85.0,234.0,D,58.5,Pass
std-199,male,group D,some college,1.0,1.0,50.0,91.0,78.0,35.0,254.0,C,63.5,Pass
std-200,male,group D,bachelor's degree,0.0,0.0,57.0,71.0,42.0,80.0,250.0,C,62.5,Pass
std-201,male,group C,high school,1.0,1.0,80.0,100.0,84.0,46.0,310.0,B,77.5,Pass
std-202,male,group A,some college,0.0,0.0,69.0,37.0,37.0,87.0,230.0,D,57.49999999999999,Pass
std-203,male,group D,high school,0.0,0.0,39.0,66.0,51.0,40.0,196.0,D,49.0,Pass
std-204,male,group C,some high school,1.0,1.0,9.0,95.0,88.0,68.0,260.0,C,65.0,Pass
std-205,male,group C,master's degree,0.0,1.0,8.0,69.0,61.0,33.0,171.0,D,42.75,Pass
std-206,male,group E,some high school,0.0,0.0,17.0,76.0,34.0,72.0,199.0,D,49.75,Pass
std-207,male,group D,bachelor's degree,0.0,1.0,33.0,54.0,63.0,57.0,207.0,D,51.74999999999999,Pass
std-208,male,group D,high school,0.0,1.0,16.0,50.0,81.0,100.0,247.0,D,61.75000000000001,Pass
std-209,male,group B,some high school,0.0,0.0,65.0,92.0,49.0,30.0,236.0,D,59.0,Pass
std-210,male,group A,high school,1.0,0.0,54.0,85.0,60.0,70.0,269.0,C,67.25,Pass
std-211,male,Unknown,high school,1.0,0.0,19.0,62.0,58.0,74.0,213.0,D,53.25,Pass
std-212,male,group E,high school,1.0,0.0,51.0,60.0,63.0,47.0,221.0,D,55.25,Pass
std-213,male,group C,associate's degree,Unknown,0.0,66.0,95.0,50.0,73.0,284.0,C,71.0,Pass
std-215,male,group C,master's degree,0.0,0.0,57.178746867167916,52.0,47.0,29.0,185.17874686716792,D,46.29468671679198,Pass
std-216,male,group C,associate's degree,0.0,1.0,33.0,70.12591478696741,74.0,52.0,229.12591478696743,D,57.281478696741864,Pass
std-217,male,group B,some college,0.0,0.0,81.0,49.0,71.41579791499599,60.0,261.415797914996,C,65.353949478749,Pass
std-218,male,group C,some college,0.0,0.0,35.0,100.0,47.0,66.06304500350807,248.06304500350808,D,62.01576125087702,Pass
std-219,male,group C,bachelor's degree,1.0,1.0,49.0,67.0,88.0,70.0,274.0,C,68.5,Pass
std-220,male,group B,associate's degree,0.0,0.0,75.0,57.0,42.0,53.0,227.0,D,56.75,Pass
std-221,male,group C,some college,0.0,1.0,40.0,83.0,99.0,100.0,322.0,B,80.5,Pass
std-222,male,group A,bachelor's degree,1.0,0.0,79.0,100.0,62.0,63.0,304.0,B,76.0,Pass
std-223,male,group B,bachelor's degree,0.0,1.0,44.0,86.0,65.0,88.0,283.0,C,70.75,Pass
std-224,male,group D,bachelor's degree,1.0,0.0,20.0,46.0,65.0,15.0,146.0,D,36.5,Fail
std-225,male,group A,some high school,1.0,1.0,16.0,70.0,56.0,77.0,219.0,D,54.75,Pass
std-226,male,group C,high school,0.0,0.0,65.0,45.0,56.0,45.0,211.0,D,52.75,Pass
std-227,male,group E,high school,1.0,1.0,68.0,67.0,72.0,30.0,237.0,D,59.25,Pass
std-228,male,group D,some high school,1.0,1.0,74.0,66.0,51.0,80.0,271.0,C,67.75,Pass
std-229,male,group C,some college,1.0,0.0,16.0,83.0,66.0,49.0,214.0,D,53.5,Pass
std-230,male,group B,high school,1.0,1.0,65.0,43.0,84.0,13.0,205.0,D,51.24999999999999,Pass
std-231,male,group D,some college,1.0,1.0,71.0,88.0,72.0,46.0,277.0,C,69.25,Pass
std-232,male,group D,some college,1.0,1.0,11.0,57.0,91.0,93.0,252.0,C,63.0,Pass
std-233,male,group C,associate's degree,0.0,0.0,44.0,38.0,82.0,67.0,231.0,D,57.75,Pass
std-234,male,group C,some college,0.0,0.0,12.0,64.0,74.0,92.0,242.0,D,60.5,Pass
std-235,male,group E,associate's degree,0.0,0.0,11.0,93.0,56.0,92.0,252.0,C,63.0,Pass
std-236,male,group E,associate's degree,0.0,0.0,54.0,75.0,79.0,58.0,266.0,C,66.5,Pass
std-237,male,group D,associate's degree,1.0,0.0,21.0,58.0,68.0,65.0,212.0,D,53.0,Pass
std-238,male,group E,some college,1.0,0.0,48.0,74.0,58.0,52.0,232.0,D,57.99999999999999,Pass
std-239,male,group C,some college,0.0,0.0,40.0,51.0,51.0,74.0,216.0,D,54.0,Pass
std-240,male,group C,high school,0.0,0.0,79.0,74.0,62.0,62.0,277.0,C,69.25,Pass
std-241,male,group E,bachelor's degree,1.0,1.0,77.0,72.0,94.0,63.0,306.0,B,76.5,Pass
std-242,male,group C,some college,1.0,0.0,19.0,63.0,69.0,58.0,209.0,D,52.25,Pass
std-243,male,group E,some college,1.0,0.0,74.0,77.0,63.0,68.0,282.0,C,70.5,Pass
std-244,male,group C,some college,0.0,0.0,52.0,66.0,71.41579791499599,66.06304500350807,255.47884291850409,C,63.869710729626014,Pass
std-245,male,group D,some college,1.0,1.0,51.0,70.12591478696741,61.0,80.0,262.1259147869674,C,65.53147869674186,Pass
std-246,male,group D,bachelor's degree,1.0,1.0,57.178746867167916,77.0,77.0,49.0,260.1787468671679,C,65.04468671679197,Pass
std-247,male,group E,bachelor's degree,1.0,Unknown,39.0,79.0,62.0,49.0,229.0,D,57.25,Pass
std-248,male,group C,bachelor's degree,Unknown,0.0,43.0,100.0,73.0,42.0,258.0,C,64.5,Pass
std-249,male,group C,Unknown,0.0,1.0,24.0,52.0,54.0,91.0,221.0,D,55.25,Pass
std-250,male,Unknown,high school,0.0,0.0,26.0,63.0,96.0,42.0,227.0,D,56.75,Pass
std-251,Unknown,group D,some high school,1.0,1.0,68.0,53.0,100.0,41.0,262.0,C,65.5,Pass
std-252,male,group B,high school,1.0,0.0,72.0,100.0,100.0,46.0,318.0,B,79.5,Pass
std-253,male,group A,high school,0.0,1.0,43.0,81.0,89.0,68.0,281.0,C,70.25,Pass
std-254,male,group E,high school,0.0,0.0,68.0,41.0,42.0,54.0,205.0,D,51.24999999999999,Pass
std-255,male,group C,high school,1.0,0.0,44.0,70.0,59.0,65.0,238.0,D,59.5,Pass
std-256,male,group C,some college,0.0,1.0,83.0,39.0,56.0,36.0,214.0,D,53.5,Pass
std-257,male,group E,high school,1.0,1.0,60.0,80.0,74.0,71.0,285.0,C,71.25,Pass
std-258,male,group A,some college,1.0,0.0,82.0,100.0,75.0,71.0,328.0,B,82.0,Pass
std-259,male,group E,bachelor's degree,1.0,0.0,22.0,65.0,48.0,50.0,185.0,D,46.25,Pass
std-260,male,group E,master's degree,1.0,1.0,83.0,52.0,92.0,77.0,304.0,B,76.0,Pass
